!SIL	SIL
<SPOKEN_NOISE>	SPN
<UNK>	SIL
-	-
0	n0
00003	n0 n0 n0 n0 n3
01	n0 n1
010	n0 n1 n0
0112ㄹㅗᴥ	n0 n1 n1 n2 f5 m8
0119	n0 n1 n1 n9
015	n0 n1 n5
02	n0 n2
0208	n0 n2 n0 n8
031	n0 n3 n1
032	n0 n3 n2
033	n0 n3 n3
04	n0 n4
042	n0 n4 n2
043	n0 n4 n3
051	n0 n5 n1
052	n0 n5 n2
0525ㅇㅔᴥㄱㅔᴥ	n0 n5 n2 n5 f11 m5 f0 m5
054	n0 n5 n4
055	n0 n5 n5
06	n0 n6
061	n0 n6 n1
062	n0 n6 n2
063	n0 n6 n3
066	n0 n6 n6
07	n0 n7
080	n0 n8 n0
0827	n0 n8 n2 n7
09	n0 n9
0924ㄹㅗᴥ	n0 n9 n2 n4 f5 m8
0933	n0 n9 n3 n3
0955	n0 n9 n5 n5
0ㅂㅓㄴᴥㅈㅣᴥ	n0 f7 m4 e3 f12 m20
1	n1
10	n1 n0
100	n1 n0 n0
1000	n1 n0 n0 n0
1001	n1 n0 n0 n1
1001ㅎㅗᴥ	n1 n0 n0 n1 f18 m8
1003	n1 n0 n0 n3
1004	n1 n0 n0 n4
1004ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n0 n4 f7 m4 e3 f12 m20
1005	n1 n0 n0 n5
1005ㅇㅔᴥㄱㅔᴥ	n1 n0 n0 n5 f11 m5 f0 m5
1006	n1 n0 n0 n6
1006ㄷㅗㅇᴥ	n1 n0 n0 n6 f3 m8 e20
1006ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n0 n6 f7 m4 e3 f12 m20
1007	n1 n0 n0 n7
1008	n1 n0 n0 n8
1009	n1 n0 n0 n9
100ㅂㅓㄴᴥ	n1 n0 n0 f7 m4 e3
100ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n0 f7 m4 e3 f0 m20 e7
100ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n0 f7 m4 e3 f12 m20
100ㅅㅔᴥ	n1 n0 n0 f9 m5
100ㅇㅓㄱᴥㅇㅔᴥㄱㅔᴥ	n1 n0 n0 f11 m4 e0 f11 m5 f0 m5
100ㅈㅜᴥㄴㅕㄴᴥ	n1 n0 n0 f12 m13 f2 m6 e3
101	n1 n0 n1
1010	n1 n0 n1 n0
1010ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n1 n0 f7 m4 e3 f12 m20
1011	n1 n0 n1 n1
1012ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n1 n2 f7 m4 e3 f0 m20 e7
1013	n1 n0 n1 n3
1014	n1 n0 n1 n4
1015	n1 n0 n1 n5
1016	n1 n0 n1 n6
1017	n1 n0 n1 n7
1017ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n1 n7 f7 m4 e3 f12 m20
1018	n1 n0 n1 n8
1018ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n1 n8 f7 m4 e3 f12 m20
1019	n1 n0 n1 n9
101ㄷㅗㅇᴥ	n1 n0 n1 f3 m8 e20
101ㅂㅓㄴᴥㄱㅣㄹᴥ	n1 n0 n1 f7 m4 e3 f0 m20 e7
101ㅂㅓㄴᴥㅈㅣᴥ	n1 n0 n1 f7 m4 e3 f12 m20
101ㅎㅗᴥ	n1 n0 n1 f18 m8
102	n1 n0 n2
